user_login,user_email,user_pass,first_name,last_name,display_name,role,nickname,first_name,last_name,description,rich_editing,comment_shortcuts,admin_color,use_ssl,show_admin_bar_front,foodbakery_capabilities,foodbakery_user_level,dismissed_wp_pointers,show_welcome_panel,suggested_restaurants_categories,suggested_restaurants_max_restaurants,aioseop_seen_about_page,locale,paying_customer,_woocommerce_persistent_cart,foodbakery_user-settings,foodbakery_user-settings-time,foodbakery_dashboard_quick_press_last_post_id,managenav-menuscolumnshidden,metaboxhidden_nav-menus,nav_menu_recently_edited,foodbakery_media_library_mode,closedpostboxes_page,metaboxhidden_page,closedpostboxes_post,metaboxhidden_post,foodbakery_user_type,foodbakery_company,user_last_login,foodbakery_user_last_activity_date,closedpostboxes_restaurants,metaboxhidden_restaurants,closedpostboxes_publishers,metaboxhidden_publishers,closedpostboxes_dashboard,metaboxhidden_dashboard,upload_per_page,manageedit-shop_ordercolumnshidden,billing_address_2,billing_address_1,billing_company,billing_last_name,billing_first_name,last_update,shipping_state,shipping_country,shipping_postcode,shipping_city,shipping_address_2,billing_phone,billing_email,shipping_first_name,shipping_last_name,shipping_company,shipping_address_1,billing_state,billing_country,billing_postcode,billing_city,closedpostboxes_shop_order,metaboxhidden_shop_order,meta-box-order_restaurants,tgmpa_dismissed_notice_tgmpa,edit_emails_per_page,edit_package-orders_per_page,edit_publishers_per_page,edit_foodbakery-trans_per_page,edit_orders_inquiries_per_page,display_name,foodbakery_user_status,foodbakery_is_admin,profile_approved,foodbakery_allow_search,session_tokens,shipping_method,meta-box-order_package-orders,screen_layout_package-orders,closedpostboxes_package-orders,metaboxhidden_package-orders,closedpostboxes_foodbakery_reviews,metaboxhidden_foodbakery_reviews,users_per_page,foodbakery_google_default_password,foodbakery_user_registered,foodbakery_google_plus,google_profile_picture
foodbakery-admin,noreply@chimpgroup.com,$P$BX700OPwfZZErkpcUHVm5HJCIQh6xc0,,,foodbakery-admin,administrator,FoodBakery Administrator,,,,true,false,fresh,0,true,a:1:{s:13:"administrator";s:1:"1";},10,,0,a:1:{i:0;s:14:"all_categories";},20,2.3.11.1,,1,a:1:{s:4:"cart";a:0:{}},libraryContent=browse&editor_expand=on&editor=tinymce&ed_size=1415&post_dfw=off&unfold=1&mfold=o&widgets_access=off&posts_list_mode=list,1503405703,15715,a:5:{i:0;s:11:"link-target";i:1;s:11:"css-classes";i:2;s:3:"xfn";i:3;s:11:"description";i:4;s:15:"title-attribute";},a:1:{i:0;s:12:"add-post_tag";},2,list,a:0:{},a:6:{i:0;s:12:"revisionsdiv";i:1;s:10:"postcustom";i:2;s:16:"commentstatusdiv";i:3;s:11:"commentsdiv";i:4;s:7:"slugdiv";i:5;s:9:"authordiv";},a:0:{},a:5:{i:0;s:13:"trackbacksdiv";i:1;s:10:"postcustom";i:2;s:16:"commentstatusdiv";i:3;s:7:"slugdiv";i:4;s:9:"authordiv";},team-member,8592,1524718829,1485431982,a:0:{},a:1:{i:0;s:7:"slugdiv";},a:0:{},a:1:{i:0;s:7:"slugdiv";},a:0:{},a:0:{},50,a:1:{i:0;s:15:"billing_address";},,,,,,1524652082,,,,,,,,,,,,,,,,a:0:{},a:1:{i:0;s:10:"postcustom";},a:4:{s:3:"top";s:0:"";s:4:"side";s:0:"";s:6:"normal";s:36:"foodbakery_meta_restaurants	Cslugdiv";s:8:"advanced";s:0:"";},1,300,90,90,150,50, , , , , ,a:1:{s:64:"95686faaed06140191c3842b39bf11335328d3782920d5013b018d336a4022af";a:4:{s:10:"expiration";i:1524891629;s:2:"ip";s:13:"58.27.193.122";s:2:"ua";s:115:"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, ,a:4:{s:3:"top";s:0:"";s:4:"side";s:0:"";s:6:"normal";s:48:"foodbakery_meta_transactions	Csubmitdiv	Cslugdiv";s:8:"advanced";s:0:"";},2,a:0:{},a:1:{i:0;s:7:"slugdiv";},a:0:{},a:1:{i:0;s:7:"slugdiv";},100, , , , ,
buyerdemo,dum4@chimpgroup.com,$P$BGlAQNh4qRwX6gzGnIAkOyqlBBCTdy/,,,,foodbakery_publisher,buyerdemo,,,,true,false,fresh,0,false,a:1:{s:20:"foodbakery_publisher";s:1:"1";},0,, ,a:1:{i:0;s:14:"all_categories";},20, ,,1, , , , , , , , , , , , ,supper-admin,15723,1524742973,1524742973, , , , , , , , ,,,,,,1524743056,,,,,,,,,,,,,,,, , , , , , , , , ,Buyer Demo,active,1,0,yes,a:9:{s:64:"5a5f28388f095e8d0c3af42cd9283f8308757c3f74d46f480059b84850fc9ff2";a:4:{s:10:"expiration";i:1524832691;s:2:"ip";s:11:"88.235.0.35";s:2:"ua";s:103:"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML,, , , , , , , , , , , ,
Cam,info@totalclub.co,$P$BAfZR7QftVPf5qkB.Z6H5NlUD.EFzY0,,,Cam,foodbakery_publisher,Cam,,,,true,false,fresh,0,,a:1:{s:20:"foodbakery_publisher";s:1:"1";},0,, , , , ,, , , , , , , , , , , , , ,supper-admin,15774, ,1524700800, , , , , , , , , , , , , ,1524701932, , , , , , , , , , , , , , , , , , , , , , , , ,Cam,active,1,0,yes, , , , , , , , , , , , , ,
Johan,dave@mail.com,$P$B/RbVXNTJH3AjfdlGqI1f8Z6k1Al3M.,,,Johan,foodbakery_publisher,Johan,,,,true,false,fresh,0,,a:1:{s:20:"foodbakery_publisher";s:1:"1";},0,, , , , ,, , , , , , , , , , , , , ,supper-admin,15786, ,1524700800, , , , , , , , , , , , , ,1524721705, , , , , , , , , , , , , , , , , , , , , , , , ,Johan,active,1,0,yes, , , , , , , , , , , , , ,
user,user@gmail.com,$P$B0xQcEepPKpFC/4DnpCW6b0bunMBMB.,,,user,foodbakery_publisher,user,,,,true,false,fresh,0,,a:1:{s:20:"foodbakery_publisher";s:1:"1";},0,, , , , ,, , , , , , , , , , , , , ,supper-admin,15793, ,1524700800, , , , , , , , , , , , , ,1524741756, , , , , , , , , , , , , , , , , , , , , , , , ,user,active,1,0,yes, , , , , , , , , , , , , ,
thiago,streetplayers.martins@gmail.com,$P$BI9LkytX4P.RScwtGuUYOoLKVBC9ox1,,,thiago,foodbakery_publisher,thiago,,,,true,false,fresh,0,,a:1:{s:20:"foodbakery_publisher";s:1:"1";},0,, , , , ,, , , , , , , , , , , , , ,supper-admin,15803, ,1524700800, , , , , , , , , , , , , ,1524742766, , , , , , , , , , , , , , , , , , , , , , , , ,,active,1,0,yes, , , , , , , , , , , , , ,
resturant-demo,dum32@chimpgroup.com,$P$BzdAdoGd2CHL.aPbMB8rPmNnTr2S2v0,,,Restaurant Demo,foodbakery_publisher,Restaurants Demo,Restaurant,Demo,,true,false,fresh,0,false,a:1:{s:20:"foodbakery_publisher";s:1:"1";},0,, ,a:1:{i:0;s:14:"all_categories";},20, ,, ,a:1:{s:4:"cart";a:1:{s:32:"6340831392e9cd8af9598274f4b3c5c0";a:9:{s:10:"product_id";i:14691;s:12:"variation_id";i:0;s:9:"variation";a:0:{}s:8:"quantity";i:1;s:10:"line_total";i:20;s:13:"line_subtotal";i:20;s:8:"line_tax";d:0.59999999999999997779553950749686919152736663818359375;s:17:"line_subtotal_tax";d:0.59999999999999997779553950749686919152736663818359375;s:13:"line_tax_data";a:2:{s:5:"total";a:1:{i:1;d:0.59999999999999997779553950749686919152736663818359375;}s:8:"subtotal";a:1:{i:1;d:0.59999999999999997779553950749686919152736663818359375;}}}}}, , , , , , , , , , , ,supper-admin,6269,1524717806,1524717806, , , , , , , , ,,,,,,1506622882,,,,,,,,,,,,,,,, , , , , , , , , ,resturant-demo,active,1,1,yes,a:11:{s:64:"ab7bf701d479b4d45f58367c051473b57ade32073dcb209ea6f0d40e4a3acf7a";a:4:{s:10:"expiration";i:1524720455;s:2:"ip";s:14:"203.101.178.34";s:2:"ua";s:115:"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,, , , , , , , , , , , ,
yash1995,1995yash@gmail.com,$P$BhHJSRGNu/JfbrMpSOXXhmsHrDHsEr.,,,yash1995,foodbakery_publisher,yash1995,,,,true,false,fresh,0,,a:1:{s:20:"foodbakery_publisher";s:1:"1";},0,, , , , ,, , , , , , , , , , , , , ,supper-admin,15717, ,1524614400, , , , , , , , , , , , , ,1524652060, , , , , , , , , , , , , , , , , , , , , , , , ,,active,1,0,yes, , , , , , , , , , , , , ,
1995yash,yash.lalchandani.1995@gmail.com,$P$BRya9jPpnkRtEBYyPiW9MFF6mw1XFW.,,,,foodbakery_publisher,1995yash,,,,true,false,fresh,0,true,a:1:{s:20:"foodbakery_publisher";s:1:"1";},0,, ,a:1:{i:0;s:14:"all_categories";},20, ,, , , , , , , , , , , , , ,supper-admin,15720,1524652303,1524652303, , , , , , , , , , , , , ,1524652470, , , , , , , , , , , , , , , , , , , , , , , , ,,active,1,0,yes,a:1:{s:64:"55b44ec44121e738971242e27fe19e9f99678d7a363a5d02c4b0bdd67365d84e";a:4:{s:10:"expiration";i:1525861903;s:2:"ip";s:13:"14.142.138.66";s:2:"ua";s:78:"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0";s:5:"login";i:1524652303;}},, , , , , , , ,$P$BRya9jPpnkRtEBYyPiW9MFF6mw1XFW.,google,https://plus.google.com/110386939178923565561,https://lh6.googleusercontent.com/-2droYwQ4OSY/AAAAAAAAAAI/AAAAAAAAAB4/ZBhUOW50u1g/photo.jpg,
rgaergaer,ergaergaer@gmail.com,$P$BiU551IRNHpGeEmHfzPHGioCIXckSD1,,,rgaergaer,foodbakery_publisher,rgaergaer,,,,true,false,fresh,0,,a:1:{s:20:"foodbakery_publisher";s:1:"1";},0,, , , , ,, , , , , , , , , , , , , ,supper-admin,15766, ,1524614400, , , , , , , , , , , , , ,1524663426, , , , , , , , , , , , , , , , , , , , , , , , ,,active,1,0,yes, , , , , , , , , , , , , ,
